timestamp,class,prob
1761906660.5433545,hook,0.756
1761906663.4300385,uppercut,0.766
1761906664.7536912,uppercut,0.959
1761906666.0474048,uppercut,0.989
1761906668.1186068,uppercut,0.993
1761906671.0036547,uppercut,0.993
1761906673.8503678,uppercut,0.995
1761906676.4703345,uppercut,0.996
1761906679.3489852,uppercut,0.996
1761906682.3340454,uppercut,0.992
1761906685.2907605,uppercut,0.98
1761906688.0573492,uppercut,0.979
1761906690.9681416,uppercut,0.983
1761906693.2148223,uppercut,0.993
1761906694.4829757,uppercut,0.997
1761906695.7476072,uppercut,0.998
1761906697.0650597,uppercut,0.996
1761906698.329061,uppercut,0.982
1761906699.597327,uppercut,0.835
1761906703.9449763,uppercut,0.774
1761906705.2321901,uppercut,0.912
1761906706.553052,uppercut,0.965
1761906707.8627038,uppercut,0.985
1761906709.2473977,uppercut,0.991
1761906710.5313435,uppercut,0.993
1761906711.8562462,uppercut,0.993
1761906714.1793182,uppercut,0.995
1761906717.0592008,uppercut,0.997
1761906719.9531386,uppercut,0.996
1761906722.8906698,uppercut,0.996
1761906725.768223,uppercut,0.997
1761906728.4223716,uppercut,0.998
1761906731.369241,uppercut,0.998
1761906734.316935,uppercut,0.997
1761906737.2365627,uppercut,0.996
1761906739.825496,uppercut,0.995
1761906742.778956,uppercut,0.994
1761906745.6973004,uppercut,0.993
1761906748.4675725,uppercut,0.995
1761906751.287195,uppercut,0.996
1761906754.1362412,uppercut,0.984
1761906756.635432,uppercut,0.941
1761906759.3165498,uppercut,0.928
1761906762.2527502,uppercut,0.957
1761906765.0816517,uppercut,0.992
1761906768.0694442,uppercut,0.995
1761906770.7085085,uppercut,0.996
1761906773.7253108,uppercut,0.997
1761906776.6325645,uppercut,0.997
1761906779.5462532,uppercut,0.997
1761906782.354059,uppercut,0.996
1761906785.2534478,uppercut,0.997
1761906788.1241505,uppercut,0.997
1761906790.8071268,uppercut,0.985
1761906793.7602139,uppercut,0.794
1761906796.7158616,uppercut,0.859
1761906799.5077763,uppercut,0.885
1761906802.236363,uppercut,0.928
1761906805.1901596,uppercut,0.777
1761906815.9889681,uppercut,0.783
1761906818.936355,uppercut,0.978
1761906821.668834,uppercut,0.997
1761906824.3024447,uppercut,0.998
1761906827.0403926,uppercut,0.992
1761906829.7031004,uppercut,0.984
1761906832.1434915,uppercut,0.986
1761906834.6233752,uppercut,0.954
1761906837.1368036,uppercut,0.89
1761906839.85528,uppercut,0.753
1761906842.3485816,uppercut,0.85
1761906844.6242716,uppercut,0.799
1761906847.1679149,uppercut,0.809
1761906865.0510857,uppercut,0.773
1761906867.7783267,uppercut,0.995
1761906870.3002124,uppercut,1.0
1761906872.929094,uppercut,1.0
1761906875.5143957,uppercut,0.999
1761906878.0413654,uppercut,0.999
1761906880.553889,uppercut,0.996
1761906883.117317,uppercut,0.991
1761906885.5796232,uppercut,0.995
1761906888.0110211,uppercut,0.998
1761906890.5803275,uppercut,0.998
1761906893.0830524,uppercut,0.995
1761906895.4158258,uppercut,0.985
1761906897.9651077,uppercut,0.987
1761906900.6706247,uppercut,0.987
1761906903.1913953,uppercut,0.995
1761906905.6808069,uppercut,0.995
1761906908.3059764,uppercut,0.967
1761906918.9477155,uppercut,0.756
1761906921.79724,uppercut,0.943
1761906924.61666,uppercut,0.985
1761906927.1388092,uppercut,0.98
1761906929.999775,uppercut,0.992
1761906932.7793999,uppercut,0.995
1761906935.5668757,uppercut,0.99
1761906939.7980418,hook,0.761
1761906942.6279242,hook,0.857
1761906945.32152,hook,0.94
1761906947.8836725,hook,0.945
1761906950.6427734,hook,0.925
1761906953.449145,hook,0.861
1761906956.2794588,hook,0.853
1761906958.8926723,hook,0.752
1761906965.6498737,uppercut,0.782
1761906968.3995984,uppercut,0.933
1761906970.9832714,uppercut,0.985
1761906973.818145,uppercut,0.993
1761906976.6658392,uppercut,0.994
1761906979.324587,uppercut,0.993
1761906982.0794067,uppercut,0.984
1761906984.8426802,uppercut,0.903
1761906987.6461856,uppercut,0.916
1761906990.1890686,uppercut,0.988
1761906992.9797385,uppercut,0.998
1761906995.891534,uppercut,0.999
1761906998.6945415,uppercut,0.998
1761907001.1848485,uppercut,0.999
1761907003.7475414,uppercut,0.999
1761907006.5527847,uppercut,0.995
1761907009.226176,uppercut,0.949
1761907011.88026,uppercut,0.955
1761907014.6562936,uppercut,0.969
1761907017.4775324,uppercut,0.983
1761907020.27468,uppercut,0.988
1761907022.850349,uppercut,0.989
1761907025.6149497,uppercut,0.986
1761907028.349167,uppercut,0.984
1761907031.2145965,uppercut,0.983
1761907033.722218,uppercut,0.986
1761907036.495019,uppercut,0.988
1761907039.169905,uppercut,0.991
1761907041.9092731,uppercut,0.997
1761907044.5082674,uppercut,0.995
1761907047.334047,uppercut,0.993
1761907050.238347,uppercut,0.926
1761907052.7818208,uppercut,0.841
1761907055.717515,uppercut,0.956
1761907058.3169565,uppercut,0.953
1761907072.6925688,uppercut,0.771
1761907076.0375984,hook,0.799
1761907078.9193797,hook,0.871
1761907084.755282,hook,0.781
