timestamp,class,prob
1761823766.2867875,hook,0.899
1761823767.448828,hook,0.904
1761823768.6677825,hook,0.937
1761823769.8048768,hook,0.943
1761823771.0143538,hook,0.874
1761823772.2360733,hook,0.947
1761823773.4600117,hook,0.976
1761823774.6698167,hook,0.962
1761823775.828955,hook,0.891
1761823777.0293353,hook,0.756
1761823779.68666,hook,0.769
1761823780.9272714,hook,0.96
1761823782.1526413,jab,0.776
1761823783.3633614,jab,0.853
1761823785.747127,jab,0.795
1761823787.1308882,jab,0.969
1761823788.3574762,jab,0.856
1761823790.726454,jab,0.75
1761823791.9420805,jab,0.869
1761823793.1515753,jab,0.952
1761823795.876542,jab,0.782
1761823797.0101912,jab,0.973
1761823798.273386,jab,0.987
1761823799.5098548,jab,0.952
1761823800.6768985,jab,0.851
