timestamp,class,prob
1761813516.4778023,uppercut,0.765
1761813518.1668978,uppercut,0.781
1761813519.7161322,uppercut,0.751
1761813525.3768737,uppercut,0.754
1761813526.8847158,uppercut,0.861
1761813528.38567,uppercut,0.852
1761813531.6255448,hook,0.775
1761813533.200247,hook,0.892
1761813534.7083423,hook,0.956
1761813536.2212436,hook,0.972
1761813537.6853378,hook,0.976
1761813539.1715698,hook,0.977
1761813540.6282778,hook,0.978
1761813542.1593668,hook,0.979
1761813543.6188297,hook,0.978
1761813545.1582448,hook,0.978
1761813546.5926049,hook,0.978
1761813548.035724,hook,0.978
1761813550.0645366,hook,0.978
1761813552.7098148,hook,0.979
1761813555.2325704,hook,0.978
1761813557.6227727,hook,0.976
1761813559.4380953,hook,0.975
1761813562.1291866,hook,0.976
1761813564.6844127,hook,0.975
1761813566.6701396,hook,0.973
